area,location,city,road_width,amenities,distance_from_city,land_type,price
856,bandra,mumbai,32,"mall,metro",11.696322144464682,residential,31201365.72
756,bandra,mumbai,17,"school,hospital",7.810857195847774,residential,35251422.11
2469,bandra,mumbai,50,"mall,metro",26.480588387672103,commercial,115638916.36
1302,bandra,mumbai,32,"school,hospital",27.764221013893017,residential,57399663.21
2131,bandra,mumbai,24,"mall,metro",33.716392166203434,commercial,89767329.31
818,bandra,mumbai,21,"park,school",30.424830990423793,commercial,30813589.8
577,bandra,mumbai,49,"school,hospital",34.19347291938112,commercial,28350994.34
722,bandra,mumbai,38,"mall,metro",26.137155086447702,residential,33166320.04
1333,bandra,mumbai,20,"mall,metro",30.99451000265809,commercial,66537001.77
1538,bandra,mumbai,38,"mall,metro",16.10542901350648,residential,67920210.81
1493,bandra,mumbai,19,"mall,metro",21.02419631089124,residential,72608719.1
1069,bandra,mumbai,32,"mall,metro",25.53842752969624,residential,47378811.0
1338,bandra,mumbai,35,"hospital,mall",13.032226279271082,residential,67960293.67
1688,bandra,mumbai,46,"hospital,mall",31.540494616601073,commercial,67228444.91
985,bandra,mumbai,30,"park,school",27.410414349567738,commercial,40156325.35
2035,bandra,mumbai,23,"hospital,mall",7.727282365213817,residential,86519929.73
849,bandra,mumbai,25,"hospital,mall",22.892270921959216,commercial,32899721.04
1963,bandra,mumbai,44,"park,school",34.13235132840855,residential,91723121.73
869,bandra,mumbai,49,"park,school",28.057961979723377,commercial,41947313.59
856,bandra,mumbai,25,"hospital,mall",5.0973594830518785,commercial,35338249.98
2450,bandra,mumbai,47,"school,hospital",31.115557095103007,commercial,121802532.98
2479,bandra,mumbai,24,"park,school",27.875324002254537,residential,116417468.77
1727,bandra,mumbai,22,"park,school",31.361656334695528,commercial,77360797.04
1380,bandra,mumbai,20,"school,hospital",26.95722784533883,residential,51118861.14
915,bandra,mumbai,45,"mall,metro",12.951698868201774,commercial,35054607.42
1267,bandra,mumbai,27,"park,school",16.969768999922874,commercial,66796801.12
2194,bandra,mumbai,43,"school,hospital",12.437168409980238,residential,114511559.43
1784,bandra,mumbai,50,"mall,metro",22.65320343231053,residential,64899452.16
690,bandra,mumbai,18,"mall,metro",7.022009843309225,residential,33631384.56
1753,bandra,mumbai,30,"park,school",25.069333348888417,residential,65343832.82
941,bandra,mumbai,45,"mall,metro",28.5385827287226,commercial,46128145.76
1179,bandra,mumbai,42,"park,school",17.707358690597623,commercial,44445782.05
621,bandra,mumbai,21,"school,hospital",17.078638463068064,commercial,29882868.91
847,bandra,mumbai,27,"hospital,mall",9.205468912843234,residential,34283014.47
1540,bandra,mumbai,19,"hospital,mall",29.240667341951077,residential,68264050.06
607,bandra,mumbai,49,"school,hospital",34.06988771854254,residential,28977335.11
1081,bandra,mumbai,45,"mall,metro",30.939511820906464,residential,46824004.74
1074,bandra,mumbai,39,"park,school",32.79554220678,commercial,45990308.34
1568,bandra,mumbai,50,"hospital,mall",9.643904758221924,commercial,68386963.28
1291,bandra,mumbai,49,"school,hospital",27.43926681137192,residential,68986868.22
605,bandra,mumbai,47,"mall,metro",6.7063873918605355,residential,28141694.0
